Time stamp,"Reward Single base, no spawns",Reward Greedy agents - many spawns and conversions,"Reward Self play optimum 1 - single base, conservative start"
2020-04-24 09:11:08.332099,0.91,0.81,0.48
2020-04-24 09:13:31.287723,0.75,0.6,0.29
2020-04-24 09:15:50.629451,0.92,0.82,0.51
2020-04-24 09:18:11.091460,0.66,0.69,0.39
2020-04-24 09:20:40.998772,0.87,0.79,0.5
2020-04-24 09:23:20.372290,0.92,0.83,0.34
2020-04-24 09:25:58.794751,0.94,0.89,0.62
2020-04-24 09:28:45.977010,0.97,0.92,0.69
2020-04-24 09:31:31.057279,1.0,0.91,0.56
2020-04-24 09:34:39.191217,0.99,0.9,0.63
2020-04-24 09:38:53.211235,0.98,0.91,0.63
2020-04-24 09:42:39.343086,0.97,0.9,0.67
2020-04-24 09:46:43.648176,0.99,0.88,0.64
2020-04-24 09:50:40.393347,0.84,0.77,0.48
2020-04-24 09:55:14.608821,1.0,0.96,0.69
2020-04-24 09:59:27.181233,1.0,0.94,0.61
2020-04-24 10:03:45.034317,0.99,0.93,0.64
2020-04-24 10:08:33.588413,0.99,0.93,0.62
2020-04-24 10:13:01.094005,0.99,0.9,0.75
2020-04-24 10:18:31.312656,0.99,0.91,0.64
2020-04-24 10:24:46.442617,0.96,0.81,0.45
2020-04-24 10:30:02.716709,0.99,0.94,0.59
2020-04-24 10:36:39.521818,0.94,0.73,0.2
2020-04-24 10:43:33.293201,0.93,0.79,0.28
2020-04-24 10:50:50.004739,0.98,0.83,0.67
