Time stamp,Average reward self play,Average evaluation reward,Experience buffer size,Data rules path
2020-04-21 19:02:11.659298,0.43999999999999984,0.3466666666666666,100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_1.json
2020-04-21 19:04:42.603189,0.5066666666666666,0.4983333333333334,100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_1.json
2020-04-21 19:06:54.043499,0.6200000000000001,0.7799999999999997,200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_1.json
2020-04-21 19:09:06.552451,0.7466666666666667,0.6633333333333331,300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_2.json
2020-04-21 19:11:26.359925,0.75,0.6633333333333334,400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_3.json
2020-04-21 19:13:42.865164,0.6649999999999997,0.6916666666666663,500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_4.json
2020-04-21 19:16:04.361187,0.5183333333333334,0.6433333333333333,600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_5.json
2020-04-21 19:18:21.946858,0.5883333333333333,0.5599999999999999,700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_5.json
2020-04-21 19:20:37.056558,0.7216666666666666,0.5716666666666663,800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_5.json
2020-04-21 19:22:53.809197,0.5933333333333333,0.6066666666666664,900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_5.json
2020-04-21 19:25:11.925581,0.5383333333333333,0.6099999999999999,1000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_5.json
2020-04-21 19:27:25.430656,0.5366666666666667,0.54,1100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_5.json
2020-04-21 19:29:43.835289,0.6766666666666665,0.65,1200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_5.json
2020-04-21 19:32:03.073078,0.4666666666666666,0.4733333333333332,1300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_6.json
2020-04-21 19:34:21.868481,0.6133333333333332,0.6799999999999998,1400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_6.json
2020-04-21 19:36:40.977967,0.6033333333333333,0.6500000000000001,1500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_7.json
2020-04-21 19:39:03.181634,0.5866666666666666,0.5766666666666669,1600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_8.json
2020-04-21 19:41:24.604804,0.4033333333333334,0.54,1700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_8.json
2020-04-21 19:43:45.028620,0.6633333333333336,0.6599999999999998,1800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_8.json
2020-04-21 20:41:49.566574,0.6066666666666667,0.5599999999999998,100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 20:44:07.497718,0.7233333333333334,0.5800000000000003,200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 20:46:31.219537,0.5366666666666665,0.5200000000000001,300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 20:48:49.278480,0.7266666666666666,0.4633333333333337,400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 20:51:20.901760,0.5766666666666664,0.62,500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 20:53:53.380909,0.6066666666666668,0.4599999999999998,600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 20:56:27.879618,0.67,0.5866666666666668,700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 20:58:56.577663,0.6249999999999998,0.6833333333333332,800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_9.json
2020-04-21 21:01:15.989899,0.6666666666666665,0.6799999999999998,900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_10.json
2020-04-21 21:03:34.607443,0.6566666666666666,0.6699999999999997,1000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_11.json
2020-04-21 21:06:06.954111,0.6266666666666668,0.63,1100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_12.json
2020-04-21 21:08:38.639856,0.4866666666666666,0.5666666666666669,1200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_13.json
2020-04-21 21:11:18.718007,0.5666666666666665,0.4733333333333333,1300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_13.json
2020-04-21 21:13:48.845638,0.4733333333333335,0.5700000000000002,1400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_13.json
2020-04-21 21:16:42.424217,0.6000000000000001,0.5233333333333331,1500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_13.json
2020-04-21 21:19:10.195057,0.746666666666667,0.6699999999999998,1600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_13.json
2020-04-21 21:21:44.673579,0.5900000000000001,0.6566666666666664,1700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:24:25.603453,0.6466666666666664,0.5733333333333333,1800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:26:56.359283,0.5633333333333332,0.6099999999999999,1900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:29:19.081326,0.6333333333333332,0.5733333333333335,2000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:31:43.673331,0.6000000000000002,0.5966666666666667,2100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:34:16.006636,0.6416666666666668,0.563333333333333,2200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:36:57.250532,0.6166666666666667,0.4766666666666667,2300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:39:31.433238,0.6999999999999998,0.6400000000000002,2400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:42:07.318247,0.4733333333333333,0.5766666666666667,2500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_15.json
2020-04-21 21:44:45.827572,0.6,0.6533333333333338,2600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_15.json
2020-04-21 21:47:24.660180,0.66,0.6433333333333333,2700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_16.json
2020-04-21 21:50:05.704019,0.4866666666666666,0.4383333333333333,2800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 21:52:45.781295,0.62,0.5633333333333332,2900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 21:55:27.866532,0.54,0.43999999999999984,3000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 21:58:07.575069,0.6216666666666666,0.4233333333333333,3100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:00:55.451923,0.4866666666666666,0.4333333333333333,3200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:03:42.059237,0.4749999999999999,0.5066666666666666,3300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:06:27.693020,0.5666666666666668,0.5199999999999998,3400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:09:15.928979,0.6166666666666665,0.6033333333333334,3500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:12:03.776715,0.4933333333333333,0.6366666666666664,3600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:14:47.193146,0.4166666666666665,0.43833333333333335,3700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
