Time stamp,Reward Single base no spawns,Reward Swarm intelligence
2020-06-25 23:51:24.958391,0.27,0.0
2020-06-25 23:54:15.357785,0.92,0.34
2020-06-25 23:56:46.281851,0.97,0.59
2020-06-25 23:59:02.929466,0.4,0.03
2020-06-26 00:01:15.579914,0.47,0.04
2020-06-26 00:03:29.461731,0.41,0.0
2020-06-26 00:05:54.887858,1.0,0.47
2020-06-26 00:08:12.953539,0.51,0.04
2020-06-26 00:10:33.915823,1.0,0.9
2020-06-26 00:13:00.848979,0.96,0.43
2020-06-26 00:15:28.154793,0.97,0.21
2020-06-26 00:17:47.609167,1.0,0.48
2020-06-26 00:20:16.584001,0.99,0.79
2020-06-26 00:22:47.923258,1.0,0.9
2020-06-26 00:25:17.195638,0.83,0.2
2020-06-26 00:27:29.493450,0.09,0.0
2020-06-26 00:29:57.028889,1.0,0.99
2020-06-26 00:32:21.685790,1.0,0.56
2020-06-26 00:34:44.377319,0.24,0.02
2020-06-26 00:37:02.540135,0.28,0.0
2020-06-26 00:39:28.288585,1.0,0.45
2020-06-26 00:41:49.627646,0.55,0.0
2020-06-26 00:44:14.484566,1.0,0.45
2020-06-26 00:46:42.029445,1.0,0.67
2020-06-26 00:49:17.724288,1.0,0.73
2020-06-26 00:51:46.888373,0.96,0.4
2020-06-26 00:54:18.805105,1.0,0.64
2020-06-26 00:56:51.863515,1.0,0.95
2020-06-26 00:59:23.315577,0.95,0.48
2020-06-26 01:01:45.572524,0.81,0.07
2020-06-26 01:04:19.720433,1.0,0.84
2020-06-26 01:06:51.669453,1.0,0.98
2020-06-26 01:09:23.866806,1.0,0.99
2020-06-26 01:11:43.865051,1.0,0.93
2020-06-26 01:14:08.985641,1.0,0.96
2020-06-26 01:16:45.624927,1.0,0.96
2020-06-26 01:19:04.181705,1.0,0.85
2020-06-26 01:21:25.474353,0.47,0.07
2020-06-26 01:23:57.395488,1.0,0.98
2020-06-26 01:26:28.422754,1.0,0.74
2020-06-26 01:28:58.074199,1.0,0.96
2020-06-26 01:31:35.297682,1.0,0.92
2020-06-26 01:33:56.650378,1.0,0.48
2020-06-26 01:36:21.072517,1.0,0.99
2020-06-26 01:38:34.618048,0.21,0.13
2020-06-26 01:41:05.997446,0.96,0.7
2020-06-26 01:43:38.600075,1.0,0.99
2020-06-26 01:46:02.278188,1.0,0.95
2020-06-26 01:48:32.397552,1.0,0.33
2020-06-26 01:51:00.298475,0.93,0.87
2020-06-26 01:53:36.004000,1.0,1.0
2020-06-26 01:56:02.117814,1.0,0.98
2020-06-26 01:58:40.035324,1.0,0.99
2020-06-26 02:01:13.778854,1.0,0.96
2020-06-26 02:03:55.327551,1.0,1.0
2020-06-26 02:06:24.137125,1.0,0.95
2020-06-26 02:08:58.738693,1.0,1.0
2020-06-26 02:11:21.053241,1.0,0.92
2020-06-26 02:13:54.736714,1.0,0.96
2020-06-26 02:16:25.469022,1.0,0.98
2020-06-26 02:18:53.290868,1.0,0.89
2020-06-26 02:21:25.650583,0.99,0.64
2020-06-26 02:24:00.994593,1.0,1.0
2020-06-26 02:26:31.650069,1.0,1.0
2020-06-26 02:28:56.652407,1.0,0.99
2020-06-26 02:31:37.839850,1.0,0.84
2020-06-26 02:34:07.047044,1.0,0.99
2020-06-26 02:36:49.043386,1.0,0.99
2020-06-26 02:39:31.439353,1.0,0.91
2020-06-26 02:42:05.568389,1.0,0.99
2020-06-26 02:44:35.394292,1.0,0.99
2020-06-26 02:47:13.989160,1.0,0.99
2020-06-26 02:49:50.315445,1.0,1.0
2020-06-26 02:52:28.226944,0.97,0.88
2020-06-26 02:55:01.497983,1.0,0.94
2020-06-26 02:57:42.395778,1.0,0.93
2020-06-26 03:00:12.544925,1.0,0.91
2020-06-26 03:02:36.976192,1.0,0.81
2020-06-26 03:05:16.848081,1.0,0.98
2020-06-26 03:07:49.201445,0.99,0.68
2020-06-26 03:10:28.715909,1.0,0.97
2020-06-26 03:13:08.878694,1.0,1.0
2020-06-26 03:15:54.155460,1.0,0.98
2020-06-26 03:18:29.648896,1.0,0.96
2020-06-26 03:21:04.928737,1.0,0.99
2020-06-26 03:23:31.886122,1.0,0.52
2020-06-26 03:26:08.120200,1.0,0.9
2020-06-26 03:28:40.866476,1.0,1.0
2020-06-26 03:31:17.063578,1.0,1.0
2020-06-26 03:33:56.552062,1.0,0.99
2020-06-26 03:36:36.553711,1.0,1.0
2020-06-26 03:39:06.935090,1.0,0.91
2020-06-26 03:41:40.517489,1.0,0.84
2020-06-26 03:44:22.658763,1.0,0.97
2020-06-26 03:47:08.201732,0.97,0.81
2020-06-26 03:49:46.951512,1.0,0.98
2020-06-26 03:52:22.071146,1.0,0.99
2020-06-26 03:55:09.234644,1.0,0.96
2020-06-26 03:57:38.989913,1.0,0.99
2020-06-26 04:00:09.547422,1.0,0.9
2020-06-26 04:02:56.278650,1.0,1.0
2020-06-26 04:05:38.657035,1.0,0.97
2020-06-26 04:08:31.455963,1.0,0.93
2020-06-26 04:11:05.692369,1.0,0.94
2020-06-26 04:13:45.352491,1.0,0.97
2020-06-26 04:16:30.781042,1.0,0.97
2020-06-26 04:19:11.864661,1.0,0.99
2020-06-26 04:21:44.456283,1.0,0.98
2020-06-26 04:24:23.194902,1.0,0.97
2020-06-26 04:27:14.135601,1.0,1.0
2020-06-26 04:30:11.516378,0.99,0.87
2020-06-26 04:32:43.116398,1.0,0.77
2020-06-26 04:35:18.624857,1.0,1.0
2020-06-26 04:37:56.310380,1.0,1.0
2020-06-26 04:40:38.287582,1.0,1.0
2020-06-26 04:43:20.996812,1.0,0.96
2020-06-26 04:46:16.648998,1.0,0.98
2020-06-26 04:49:00.462041,1.0,0.99
2020-06-26 04:51:54.773174,1.0,0.98
2020-06-26 04:54:32.641356,1.0,0.98
2020-06-26 04:57:14.750041,1.0,0.88
2020-06-26 04:59:54.782515,1.0,1.0
2020-06-26 05:02:36.272282,1.0,0.99
2020-06-26 05:05:30.765391,1.0,1.0
2020-06-26 05:08:24.061870,1.0,1.0
2020-06-26 05:11:10.547558,1.0,1.0
2020-06-26 05:13:53.170125,1.0,1.0
2020-06-26 05:16:34.587501,1.0,0.98
2020-06-26 05:19:16.784589,1.0,1.0
2020-06-26 05:22:12.248478,1.0,1.0
2020-06-26 05:24:56.862273,1.0,0.97
2020-06-26 05:27:55.103456,1.0,0.99
2020-06-26 05:30:47.140137,0.85,0.88
2020-06-26 05:33:43.640820,1.0,0.96
2020-06-26 05:36:44.371313,1.0,1.0
2020-06-26 05:39:47.593424,1.0,0.96
2020-06-26 05:42:34.980165,1.0,1.0
2020-06-26 05:45:26.342785,1.0,0.99
2020-06-26 05:48:06.981148,1.0,1.0
2020-06-26 05:50:53.152198,1.0,0.98
2020-06-26 05:53:42.457600,1.0,0.82
2020-06-26 05:56:34.858204,1.0,1.0
2020-06-26 05:59:26.839171,1.0,0.97
2020-06-26 06:02:29.706853,1.0,0.84
2020-06-26 06:05:31.824478,1.0,1.0
2020-06-26 06:08:24.791252,1.0,0.96
2020-06-26 06:11:26.055405,1.0,0.99
2020-06-26 06:14:14.235709,1.0,0.99
2020-06-26 06:17:15.717994,1.0,1.0
2020-06-26 06:20:11.274819,1.0,0.98
2020-06-26 06:22:58.478190,1.0,0.98
2020-06-26 06:25:47.711191,1.0,1.0
2020-06-26 06:28:43.934102,1.0,1.0
2020-06-26 06:31:46.096488,1.0,0.99
2020-06-26 06:34:43.854288,1.0,1.0
2020-06-26 06:37:35.324787,1.0,0.95
2020-06-26 06:40:40.983162,1.0,1.0
2020-06-26 06:43:31.933724,1.0,1.0
2020-06-26 06:46:31.039641,1.0,0.99
2020-06-26 06:49:24.134010,1.0,1.0
2020-06-26 06:52:40.219490,1.0,1.0
2020-06-26 06:55:39.507962,1.0,1.0
2020-06-26 06:58:43.005320,1.0,1.0
2020-06-26 07:01:34.009361,1.0,0.97
2020-06-26 07:04:33.892374,1.0,1.0
2020-06-26 07:07:31.072960,1.0,0.99
2020-06-26 07:10:34.228487,1.0,0.98
2020-06-26 07:13:36.664068,1.0,1.0
2020-06-26 07:16:49.146419,1.0,0.99
2020-06-26 07:19:53.489238,1.0,1.0
2020-06-26 07:23:05.849204,1.0,0.99
2020-06-26 07:26:10.156352,1.0,1.0
2020-06-26 07:29:08.962646,1.0,1.0
2020-06-26 07:32:20.114676,1.0,0.99
2020-06-26 07:35:19.341383,1.0,1.0
2020-06-26 07:38:15.345953,1.0,0.99
2020-06-26 07:41:11.416105,1.0,0.99
2020-06-26 07:44:25.602393,1.0,0.99
2020-06-26 07:47:25.664838,1.0,0.99
2020-06-26 07:50:36.605782,1.0,1.0
2020-06-26 07:53:45.094346,1.0,1.0
2020-06-26 07:57:00.058247,1.0,0.97
2020-06-26 08:00:10.009683,1.0,0.99
2020-06-26 08:03:09.975527,1.0,1.0
2020-06-26 08:06:19.726047,1.0,1.0
2020-06-26 08:09:36.817256,1.0,0.99
2020-06-26 08:12:49.360907,1.0,1.0
2020-06-26 08:15:47.263297,1.0,0.99
2020-06-26 08:18:53.910179,1.0,1.0
2020-06-26 08:21:57.807597,0.92,0.42
2020-06-26 08:25:12.613620,1.0,1.0
2020-06-26 08:28:23.290112,1.0,0.97
2020-06-26 08:31:44.941049,1.0,1.0
