Time stamp,Reward Stochastic swarm intelligence,Reward Self play rule_actions_v2 optimum 1
2020-06-26 21:39:33.670785,0.0,0.0
2020-06-26 21:42:24.769462,0.01,0.01
2020-06-26 21:45:34.235817,0.42,0.08
2020-06-26 21:48:44.035572,0.53,0.22
2020-06-26 21:51:38.786791,0.08,0.01
2020-06-26 21:54:40.038449,0.14,0.03
2020-06-26 21:57:39.016506,0.11,0.0
2020-06-26 22:00:46.387740,0.48,0.02
2020-06-26 22:03:46.015907,0.22,0.03
2020-06-26 22:06:54.554243,0.43,0.08
2020-06-26 22:09:53.414655,0.13,0.02
2020-06-26 22:12:52.223772,0.19,0.04
2020-06-26 22:16:01.680106,0.78,0.26
2020-06-26 22:19:00.608356,0.04,0.0
2020-06-26 22:22:16.012586,0.75,0.31
2020-06-26 22:25:27.377499,0.32,0.02
2020-06-26 22:28:33.337453,0.31,0.08
2020-06-26 22:31:37.687076,0.22,0.12
2020-06-26 22:34:51.187833,0.77,0.46
2020-06-26 22:38:00.497957,0.52,0.06
2020-06-26 22:40:48.337295,0.0,0.0
2020-06-26 22:43:44.484363,0.14,0.06
2020-06-26 22:46:50.976419,0.33,0.03
2020-06-26 22:49:46.784012,0.03,0.01
2020-06-26 22:52:44.783571,0.22,0.27
2020-06-26 22:56:03.915096,0.8,0.34
2020-06-26 22:59:09.930699,0.51,0.13
2020-06-26 23:02:20.979548,0.92,0.7
2020-06-26 23:05:27.955323,0.64,0.36
2020-06-26 23:08:45.007077,0.94,0.76
2020-06-26 23:12:00.197490,0.53,0.09
2020-06-26 23:15:13.466093,0.63,0.12
2020-06-26 23:18:22.369498,0.92,0.71
2020-06-26 23:21:32.353035,0.97,0.92
2020-06-26 23:24:42.662358,0.83,0.46
2020-06-26 23:27:56.975510,0.92,0.69
2020-06-26 23:31:13.785786,0.86,0.52
2020-06-26 23:34:14.360244,0.06,0.02
2020-06-26 23:37:26.043762,0.94,0.89
2020-06-26 23:40:18.452291,0.28,0.27
2020-06-26 23:43:20.786604,0.14,0.03
2020-06-26 23:46:36.318205,0.93,0.62
2020-06-26 23:49:44.244922,0.96,0.86
2020-06-26 23:53:04.820497,0.91,0.84
2020-06-26 23:56:23.092830,0.96,0.8
2020-06-26 23:59:37.812045,0.83,0.56
2020-06-27 00:02:47.979420,0.71,0.41
2020-06-27 00:06:01.886546,0.97,0.92
2020-06-27 00:09:12.899976,0.97,0.96
2020-06-27 00:12:26.990421,0.97,0.93
2020-06-27 00:15:44.832060,0.99,0.74
2020-06-27 00:18:55.855374,0.94,0.84
