Time stamp,Reward Rule actions v3 optimum 1 additional rules 24
2020-09-13 13:24:21.315397,0.67
2020-09-13 17:12:13.382980,0.0
2020-09-13 17:12:41.524691,1.0
2020-09-13 17:13:08.791791,0.33
2020-09-13 17:28:23.421482,0.33
2020-09-13 17:34:58.454922,0.33
2020-09-13 17:38:16.824132,0.67
2020-09-13 17:38:43.806723,0.0
2020-09-13 17:39:10.852667,1.0
2020-09-13 17:39:37.516527,0.67
2020-09-13 17:40:03.810994,0.0
2020-09-13 17:42:51.786771,0.0
2020-09-13 17:49:24.910250,1.0
2020-09-13 17:49:52.654178,0.67
2020-09-13 17:50:20.128510,0.67
2020-09-13 17:50:46.455403,0.67
2020-09-13 17:51:14.024244,0.33
2020-09-13 17:56:15.513654,1.0
2020-09-13 18:25:20.833147,1.0
2020-09-13 18:25:48.114434,0.33
2020-09-13 18:26:16.877950,1.0
2020-09-13 18:29:58.766628,1.0
2020-09-13 18:30:27.236710,1.0
2020-09-13 18:30:55.219031,0.67
2020-09-13 18:31:22.002110,0.67
2020-09-13 18:31:51.060486,1.0
2020-09-13 18:32:19.622120,0.67
2020-09-13 18:32:48.914688,0.33
2020-09-13 18:33:17.984216,0.67
2020-09-13 18:34:04.485795,0.67
2020-09-13 18:34:44.615636,0.86
2020-09-13 18:40:58.161786,0.76
2020-09-13 18:45:56.221398,0.43
2020-09-13 18:51:06.893921,0.43
2020-09-13 18:56:20.818221,0.38
2020-09-13 19:01:43.009860,0.57
2020-09-13 19:06:57.880651,0.67
2020-09-13 19:11:53.264807,0.52
2020-09-13 19:16:51.430294,0.38
2020-09-13 19:22:07.315841,0.76
2020-09-13 19:27:25.391677,0.43
2020-09-13 19:32:43.588896,0.43
2020-09-13 19:37:43.221632,0.76
2020-09-13 19:42:54.352135,0.62
2020-09-13 19:47:53.773541,0.76
2020-09-13 19:52:51.461518,0.43
2020-09-13 19:58:01.621792,0.71
2020-09-13 20:03:13.730624,0.52
2020-09-13 20:08:37.538502,0.48
2020-09-13 20:13:37.193503,0.62
2020-09-13 20:18:53.635997,0.71
2020-09-13 20:24:15.718102,0.76
2020-09-13 20:29:35.033220,0.52
2020-09-13 20:34:43.863235,0.1
2020-09-13 20:40:00.917576,0.67
2020-09-13 20:45:44.755684,0.43
2020-09-13 20:50:58.744000,0.62
2020-09-13 20:56:23.323621,0.71
2020-09-13 21:01:19.473606,0.57
2020-09-13 21:06:19.876791,0.62
2020-09-13 21:11:57.826183,0.38
2020-09-13 21:17:05.486175,0.86
2020-09-13 21:22:16.667008,0.43
2020-09-13 21:27:23.337817,0.67
2020-09-13 21:32:33.315575,0.43
2020-09-13 21:37:42.513714,0.62
2020-09-13 21:42:53.925495,0.62
2020-09-13 21:48:16.722649,0.57
2020-09-13 21:53:55.564471,0.57
2020-09-13 21:59:02.831672,0.38
2020-09-13 22:04:33.770186,0.29
2020-09-13 22:10:00.687140,0.67
2020-09-13 22:15:02.328234,0.62
2020-09-13 22:20:17.601895,0.48
2020-09-13 22:25:48.721767,0.67
2020-09-13 22:30:49.136071,0.52
2020-09-13 22:35:56.881471,0.57
2020-09-13 22:40:56.796328,0.48
2020-09-13 22:46:19.765579,0.43
2020-09-13 22:51:43.257332,0.71
2020-09-13 22:56:43.235931,0.43
2020-09-13 23:01:57.672487,0.71
2020-09-13 23:07:34.354134,0.57
2020-09-13 23:12:42.655019,0.71
2020-09-13 23:17:35.630892,0.57
2020-09-13 23:23:12.024891,0.52
2020-09-13 23:28:37.662582,0.71
2020-09-13 23:34:10.364803,0.52
2020-09-13 23:39:19.716941,0.52
2020-09-13 23:44:15.607709,0.62
2020-09-13 23:49:25.083410,0.57
2020-09-13 23:54:41.852425,0.29
2020-09-14 00:00:30.177558,0.67
2020-09-14 00:05:23.871777,0.52
2020-09-14 00:10:34.671634,0.57
2020-09-14 00:15:59.419528,0.19
2020-09-14 00:21:18.762930,0.62
2020-09-14 00:26:32.901955,0.62
2020-09-14 00:31:39.288815,0.71
2020-09-14 00:36:45.638411,0.57
2020-09-14 00:42:12.787237,0.81
2020-09-14 01:16:28.639646,0.67
2020-09-14 01:39:57.267634,0.67
2020-09-14 03:25:07.157360,0.62
2020-09-14 03:30:58.959350,0.43
2020-09-14 03:37:29.485762,0.38
2020-09-14 03:43:56.590564,0.43
