Time stamp,Reward rule actions v2 optimum 4 additional rules 7 no base attack
2020-07-23 19:26:59.479749,0.99
2020-07-23 19:35:14.501070,0.93
2020-07-23 19:43:44.916406,0.95
2020-07-23 19:51:38.167262,0.99
2020-07-23 19:59:51.128839,0.96
2020-07-23 20:08:20.215289,0.84
2020-07-23 20:17:45.912367,0.59
2020-07-23 20:26:29.193489,0.77
2020-07-23 20:34:33.931047,1.0
2020-07-23 20:43:03.296529,0.99
2020-07-23 20:50:52.578084,1.0
2020-07-23 21:00:28.895214,0.77
2020-07-23 21:08:40.633086,1.0
2020-07-23 21:17:03.406579,0.99
2020-07-23 21:25:15.591091,0.89
2020-07-23 21:32:54.312236,0.99
2020-07-23 21:42:30.390385,0.74
