Time stamp,Reward rule actions v2 optimum 4 additional rules 7 no base attack,Reward Stochastic swarm intelligence,Reward Optimus mine,Reward C40,Seed (Iteration ID)
2020-07-27 09:19:16.975630,0.89,1,1,1,25
2020-07-27 18:30:18.009242,0.88,1,0.99,1,44
2020-07-27 01:52:01.891983,0.83,1,1,1,10
2020-07-27 09:48:57.781792,0.83,1,1,0.99,26
2020-07-27 12:13:22.092144,0.83,1,1,1,31
2020-07-27 13:12:27.252571,0.81,1,0.98,1,33
2020-07-27 18:58:39.028619,0.81,1,0.99,1,45
2020-07-27 06:52:36.936072,0.8,1,0.99,1,20
2020-07-27 17:03:49.860461,0.8,1,0.99,1,41
2020-07-27 18:01:15.373070,0.8,1,1,0.99,43
2020-07-27 15:36:35.014557,0.79,1,0.99,0.99,38
2020-07-27 20:01:34.178941,0.79,1,0.99,0.98,47
2020-07-27 11:14:13.738069,0.78,1,1,0.98,29
2020-07-27 19:29:22.803167,0.78,1,1,0.99,46
2020-07-27 08:21:47.756944,0.76,1,1,1,23
2020-07-27 13:40:57.555135,0.76,1,1,0.98,34
2020-07-27 10:17:16.145685,0.75,1,0.97,0.99,27
2020-07-27 00:22:44.528872,0.74,1,0.96,1,7
2020-07-26 20:57:08.502925,0.73,1,1,1,0
2020-07-27 02:52:55.799146,0.73,1,1,1,12
2020-07-27 06:25:05.429884,0.73,1,0.96,1,19
2020-07-27 11:43:42.283193,0.73,1,0.99,1,30
2020-07-27 12:42:39.699335,0.73,1,0.99,0.98,32
2020-07-27 05:24:58.522873,0.72,1,1,0.98,17
2020-07-27 16:05:40.721566,0.71,1,1,0.99,39
2020-07-27 04:24:24.096883,0.68,1,0.99,0.99,15
2020-07-27 17:32:32.972688,0.66,1,0.99,0.99,42
2020-07-26 21:57:58.219516,0.65,1,1,0.98,2
2020-07-27 02:22:32.990967,0.65,1,0.99,0.97,11
2020-07-27 03:55:12.116499,0.64,1,0.93,0.98,14
2020-07-27 07:22:58.655003,0.61,1,1,0.99,21
2020-07-27 04:56:10.249525,0.6,1,0.94,0.97,16
2020-07-27 14:39:59.147490,0.6,1,1,0.97,36
2020-07-27 03:24:33.742962,0.58,1,0.97,0.97,13
2020-07-27 16:34:36.692966,0.56,1,0.93,0.94,40
2020-07-26 21:26:42.258079,0.55,1,0.96,0.96,1
2020-07-27 07:53:27.251406,0.55,1,1,0.93,22
2020-07-27 15:07:35.361117,0.55,1,0.96,0.96,37
2020-07-27 00:52:46.863460,0.53,1,0.96,0.98,8
2020-07-26 23:53:46.969965,0.49,1,0.98,0.99,6
2020-07-27 01:23:34.451527,0.49,1,0.99,0.98,9
2020-07-27 14:08:43.933292,0.44,1,0.93,0.96,35
2020-07-26 23:25:15.351138,0.42,1,0.99,0.96,5
2020-07-27 05:55:20.052805,0.42,1,0.98,0.95,18
2020-07-26 22:55:59.271267,0.39,1,0.98,0.96,4
2020-07-26 22:25:36.171993,0.38,1,0.95,0.96,3
2020-07-27 08:50:24.525399,0.3,1,0.97,0.93,24
2020-07-27 10:45:49.961566,0.27,1,0.97,0.91,28
2020-07-27 20:33:37.629748,0.16,1,0.96,0.83,48
