Time stamp,Reward Rule actions v3 optimum 1 additional rules 11
2020-08-30 10:09:54.389460,0.67
2020-08-30 10:42:18.502527,1.0
2020-08-30 11:15:46.962185,0.0
2020-08-30 11:29:11.891165,0.33
2020-08-30 11:36:56.536665,0.89
2020-08-30 12:24:47.337096,0.33
2020-08-30 12:44:08.956622,0.56
2020-08-30 12:51:15.761744,0.22
2020-08-30 12:58:35.451073,0.89
2020-08-30 13:05:37.622131,0.11
2020-08-30 13:12:46.829803,0.11
2020-08-30 13:19:32.162336,0.56
2020-08-30 13:26:26.432773,0.33
2020-08-30 13:33:18.392527,0.33
2020-08-30 13:40:08.705622,0.67
2020-08-30 13:47:07.323156,0.33
2020-08-30 13:54:22.733734,0.11
2020-08-30 14:01:10.742159,0.22
2020-08-30 14:08:24.772398,0.44
2020-08-30 14:15:25.429543,0.22
2020-08-30 14:22:26.289111,0.67
2020-08-30 14:29:43.764715,0.33
2020-08-30 14:37:00.081521,0.33
2020-08-30 14:44:08.459254,0.56
2020-08-30 14:51:00.629872,0.0
2020-08-30 14:58:07.242057,0.11
2020-08-30 15:05:03.514225,0.44
2020-08-30 15:12:01.327360,0.56
2020-08-30 15:19:10.916952,0.56
2020-08-30 15:26:03.397779,0.56
2020-08-30 15:33:01.443724,0.78
2020-08-30 15:39:50.581347,0.89
2020-08-30 15:46:53.821271,0.56
2020-08-30 15:53:56.820530,0.67
2020-08-30 16:01:05.249990,0.44
